ID_CZASTECZKI, CORD_X, CORD_Y
Czasteczka nr. 157, 1.887243, 1.579147
Czasteczka nr. 158, 1.855080, 1.281968
Czasteczka nr. 159, 1.859880, 1.327410
Czasteczka nr. 160, 1.668300, 1.905344
Czasteczka nr. 161, 1.321972, 1.597496
Czasteczka nr. 162, 0.813408, 1.211874
Czasteczka nr. 163, 0.417151, 1.258903
Czasteczka nr. 164, 1.681201, 2.459175
Czasteczka nr. 165, 1.805140, 1.176003
Czasteczka nr. 166, 1.131192, 1.217510
Czasteczka nr. 167, 1.731177, 2.260717
Czasteczka nr. 168, 2.099858, 1.451005
Czasteczka nr. 169, 1.211566, 1.317765
Czasteczka nr. 170, 3.355367, 1.027741
Czasteczka nr. 171, 1.875100, 1.443680
Czasteczka nr. 172, 1.700668, 0.914560
Czasteczka nr. 173, 2.808953, 3.163828
Czasteczka nr. 174, 1.491597, 1.464181
